"PID","Status","Progress","Duration..in.seconds.","Finished","consent","zs_class_1","zs_class_2","zs_class_3","SDO_1","SDO_2","SDO_3","SDO_4","SDO_5","SDO_6","SDO_7","SDO_8","zsm_1","zsm_2","zsm_3","zsm_4","zsm_5","zsm_6","zsm_7","check_1","soli_1","soli_2","soli_3","soli_4","soli_5","soli_6","lnktfate","support","impact_groups_1","impact_groups_2","impact_groups_DO_1","impact_groups_DO_2","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","ideo_DO_1","ideo_DO_2","ideo_DO_3","ideo_DO_4","ideo_DO_5","vote_2024_6_TEXT","age","gender_.99_TEXT","race_8_TEXT","class_7_TEXT","feedback","policy","FL_57_DO_FL_58","FL_57_DO_FL_59","FL_57_DO_FL_60","FL_57_DO_FL_61","FL_57_DO_FL_62","FL_57_DO_FL_63","FL_64_DO_FL_65","FL_64_DO_FL_74","FL_65_DO_Zero.sum.class","FL_65_DO_SDO","FL_65_DO_Zero.summindset","FL_65_DO_ClassSolidarity","FL_65_DO_LinkedFate","Zero.sum.class_DO_zs_class_1","Zero.sum.class_DO_intro","Zero.sum.class_DO_zs_class_3","Zero.sum.class_DO_zs_class_2","SDO_DO_intro","SDO_DO_SDO_1","SDO_DO_SDO_2","SDO_DO_SDO_3","SDO_DO_SDO_4","SDO_DO_SDO_5","SDO_DO_SDO_6","SDO_DO_SDO_7","SDO_DO_SDO_8","Zero.summindset_DO_intro","Zero.summindset_DO_zsm_4","Zero.summindset_DO_zsm_1","Zero.summindset_DO_zsm_5","Zero.summindset_DO_zsm_6","Zero.summindset_DO_check_1","Zero.summindset_DO_zsm_7","Zero.summindset_DO_zsm_2","Zero.summindset_DO_zsm_3","ClassSolidarity_DO_soli_6","ClassSolidarity_DO_intro","ClassSolidarity_DO_soli_4","ClassSolidarity_DO_soli_2","ClassSolidarity_DO_soli_5","ClassSolidarity_DO_soli_1","ClassSolidarity_DO_soli_3","Support.impact_DO_support","Support.impact_DO_impact_groups","party_id","vote_2020","vote_2024","gender","class","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu"
"FR122oh","0","100","298","1","1","4","2","3","4","2","5","6","4","3","5","5","2","1","1","3","6","2","6","5","6","6","5","5","5","5","4","6","-1","1","2","1","1","5","4","2","5","3","4","1","2","5","","38","","","","","debt","","1","","","","","1","2","4","5","1","2","3","4","1","3","2","1","3","6","2","9","7","5","8","4","1","7","2","5","3","4","8","9","6","7","1","6","3","5","2","4","2","1","Democrat","Joe Biden","Joe Biden","man","Upper Middle Class","White","","","","","","","","$60,001-$80,000","4yearColl"
"PM304ad","0","100","340","1","1","6","5","2","2","1","7","7","3","3","5","7","2","2","2","4","4","3","6","5","6","6","6","6","6","6","6","6","3","-2","1","2","5","5","6","4","5","4","1","3","5","2","","33","","","","","housing","","","","1","","","1","2","2","4","3","1","5","4","1","2","3","1","6","2","3","8","7","4","5","9","1","7","8","2","3","6","5","4","9","7","1","6","3","4","2","5","1","2","Independent","Joe Biden","Joe Biden","man","Working Class","White","","","","","","","","$0-$20,000","GED"
"YK667ym","0","100","247","1","1","6","6","2","2","1","7","7","3","1","7","7","2","3","1","2","7","1","7","5","5","7","7","7","7","7","4","5","0","-1","1","2","2","7","5","4","6","3","5","2","4","1","","45","","","","","housing","","","","1","","","1","2","1","4","5","2","3","4","1","3","2","1","6","3","5","8","4","7","2","9","1","4","9","2","6","7","5","3","8","7","1","3","5","6","4","2","2","1","Democrat","Joe Biden","Joe Biden","woman","Upper Middle Class","White","","","","","","","","$180,001-$200,000","4yearColl"
"FF281zx","0","100","149","1","1","4","4","4","3","3","5","5","3","3","5","5","3","4","3","3","6","4","6","5","5","5","5","5","5","5","4","5","2","0","1","2","2","6","4","4","6","4","1","2","3","5","","64","","","","","weed","","","","","","1","1","2","2","1","3","4","5","3","1","4","2","1","9","6","4","8","7","5","3","2","1","9","6","7","3","2","8","4","5","5","1","7","4","3","6","2","2","1","Democrat","Joe Biden","Joe Biden","woman","Middle Class","White","","","","","","","","$20,001-$40,000","4yearColl"
"KN613df","0","100","213","1","1","4","4","3","2","1","5","5","5","2","5","6","2","3","2","3","6","2","6","5","5","6","5","6","5","6","6","6","2","0","1","2","2","","","","4","4","3","1","5","2","","39","","","","","minwage","1","","","","","","1","2","2","4","3","1","5","3","1","2","4","1","2","5","6","9","7","3","8","4","1","5","9","4","6","8","2","3","7","7","1","3","4","5","6","2","2","1","Independent","Joe Biden","Joe Biden","woman","Upper Middle Class","White","","","","","","","","$80,001-$100,000","MA"
"AU660rs","0","100","240","1","1","6","7","1","3","2","6","7","2","3","5","7","7","6","2","2","1","6","1","5","6","6","6","7","7","5","6","6","2","-3","1","2","4","3","3","2","5","1","5","4","2","3","","30","","","","","weed","","","","","","1","1","2","1","3","4","2","5","2","1","4","3","1","6","8","7","4","9","2","3","5","1","3","9","5","6","8","7","2","4","2","1","4","3","5","7","6","2","1","Democrat","Donald Trump","Donald Trump","man","Lower Middle Class","White","","","","","","","","$0-$20,000","4yearColl"
"MY932hg","0","100","199","1","1","4","4","4","3","2","7","5","5","4","4","5","3","3","3","3","5","3","5","5","6","6","6","6","6","6","5","6","1","-1","1","2","3","5","5","3","5","4","2","5","3","1","","36","","","","","housing","","","","1","","","1","2","3","2","5","1","4","3","1","2","4","1","9","8","7","6","4","3","5","2","1","8","7","4","6","9","5","3","2","6","1","7","3","2","4","5","1","2","Democrat","Joe Biden","Joe Biden","man","Middle Class","White","","","","","","","","Over $200,000","MA"
"CQ523ix","0","100","197","1","1","7","7","2","2","1","6","7","3","3","7","7","1","4","1","5","6","2","5","5","7","7","7","7","7","7","7","7","3","0","2","1","1","4","6","3","5","2","3","1","5","4","","35","","","","","health","","","","","1","","2","1","4","1","3","2","5","4","1","3","2","1","5","9","3","8","7","6","2","4","1","2","9","8","6","3","4","5","7","4","1","3","7","6","5","2","1","2","Democrat","Joe Biden","Joe Biden","woman","Lower Middle Class","White","","","","","","","","$80,001-$100,000","MA"
"ZA351mi","0","100","304","1","1","7","7","7","7","1","7","7","1","1","7","7","5","4","4","6","4","3","3","5","7","7","7","7","7","7","1","4","1","3","1","2","6","4","1","4","6","4","5","1","2","3","","33","","","","No comment","housing","","","","1","","","1","2","5","2","1","4","3","2","1","4","3","1","6","9","3","8","7","4","2","5","1","8","4","7","9","6","3","5","2","5","1","4","2","3","7","6","2","1","Independent","I did not vote","I will not vote","man","Lower Class","","","Black or African American","","","","","","$20,001-$40,000","GED"
"HR136kj","0","100","284","1","1","5","6","5","4","5","5","5","5","4","5","5","4","5","5","4","5","5","4","5","5","4","5","3","5","3","5","4","1","1","1","2","4","2","5","3","4","3","5","1","2","4","","29","","","","no comments","weed","","","","","","1","2","1","5","3","1","4","2","4","1","3","2","1","7","2","5","9","6","3","8","4","1","3","6","7","5","9","4","8","2","2","1","6","4","3","7","5","2","1","Democrat","Joe Biden","Joe Biden","woman","Middle Class","White","","","","","","","","$100,001-$120,000","4yearColl"
"LW909qz","0","100","181","1","1","6","7","1","3","2","6","5","2","1","7","6","6","5","2","1","2","7","3","5","6","7","7","6","5","5","6","5","3","-1","1","2","1","3","7","2","4","4","1","3","5","2","","34","","","","Good content overall.","debt","","1","","","","","1","2","3","1","5","4","2","3","1","4","2","1","3","2","8","6","9","4","7","5","1","5","7","3","2","4","6","8","9","3","1","4","2","7","5","6","1","2","Democrat","Joe Biden","Joe Biden","man","Lower Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"CC456rx","0","100","223","1","1","7","5","2","1","1","7","7","1","1","7","7","2","2","2","3","6","1","6","5","6","6","6","7","7","7","6","7","3","0","1","2","1","5","","1","7","4","1","5","3","2","","29","","","","","health","","","","","1","","2","1","5","2","3","1","4","2","1","3","4","1","2","4","6","8","5","9","7","3","1","4","2","9","5","7","3","6","8","7","1","3","4","5","2","6","1","2","Democrat","Joe Biden","Joe Biden","woman","Lower Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"UG214un","0","100","206","1","1","7","4","2","4","1","7","7","6","6","4","7","2","2","1","1","7","2","7","5","5","7","7","7","7","6","2","7","3","3","1","2","5","3","5","3","4","1","2","3","5","4","not sure","66","","","","","weed","","","","","","1","2","1","2","5","4","3","1","4","1","3","2","1","9","6","7","2","8","3","5","4","1","9","8","4","7","3","5","6","2","2","1","5","4","6","7","3","2","1","Democrat","Joe Biden","Other","woman","Middle Class","White","","","","","","","","$100,001-$120,000","MA"
"FQ843pl","0","100","311","1","1","3","2","6","6","6","2","2","6","6","1","2","2","2","2","5","6","2","6","5","3","6","3","2","6","2","6","5","1","1","2","1","5","1","1","1","1","1","5","2","4","3","Nikki Haley","47","","","","","debt","","1","","","","","2","1","3","1","2","5","4","4","1","3","2","1","8","7","2","5","6","3","9","4","1","5","2","7","9","4","3","8","6","6","1","7","4","2","3","5","1","2","Republican","Donald Trump","Other","woman","Middle Class","White","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","GED"
"GK553tg","0","100","222","1","1","5","5","3","1","1","7","7","7","1","7","7","5","3","1","5","3","5","3","5","7","7","7","7","7","7","7","6","1","-1","2","1","1","1","1","","1","4","2","3","1","5","","27","","","","","housing","","","","1","","","1","2","2","4","3","5","1","3","1","2","4","1","2","3","6","5","9","4","7","8","1","3","4","6","2","7","5","9","8","5","1","6","2","4","3","7","2","1","Independent","I did not vote","I will not vote","man","Lower Middle Class","","","Black or African American","","","","","","$60,001-$80,000","GED"
"XD236ro","0","100","223","1","1","7","7","1","4","1","7","6","2","2","6","6","4","5","3","4","5","5","5","5","7","7","7","7","7","7","5","7","3","1","2","1","1","6","6","1","6","3","4","5","1","2","","34","","","","","debt","","1","","","","","2","1","4","3","5","2","1","2","1","3","4","1","4","9","6","3","5","2","8","7","1","3","2","4","8","7","6","5","9","2","1","3","4","6","7","5","2","1","Democrat","Joe Biden","Joe Biden","woman","Middle Class","","","","Asian","","","","","$140,001-$160,000","4yearColl"
"HM409ox","0","100","376","1","1","4","4","3","7","6","6","2","5","4","6","6","5","6","2","6","5","2","7","5","6","6","6","6","6","6","6","2","2","2","1","2","4","4","4","4","4","3","2","1","5","4","","27","","","","I enjoyed the survey","debt","","1","","","","","1","2","5","4","1","2","3","3","1","4","2","1","4","8","7","5","6","9","3","2","1","6","3","7","8","9","2","4","5","4","1","2","3","6","7","5","1","2","Independent","Joe Biden","Other","woman","Working Class","","","Black or African American","","","","","","$40,001-$60,000","PHD"
"UR721wm","0","100","330","1","1","7","7","1","1","1","4","7","5","2","6","7","4","3","2","5","4","4","4","5","7","7","6","7","7","6","6","1","1","0","2","1","1","1","1","2","1","5","1","4","3","2","","36","","","","","weed","","","","","","1","1","2","3","1","4","2","5","4","1","2","3","1","4","6","8","5","9","2","7","3","1","2","3","9","8","4","7","5","6","6","1","7","2","4","3","5","2","1","Independent","I did not vote","I will not vote","woman","Middle Class","","","Black or African American","","","","","","$60,001-$80,000","GED"
"VV330np","0","100","383","1","1","5","5","3","1","1","7","4","5","4","5","7","3","3","3","3","5","3","6","5","5","6","6","7","7","7","5","5","2","0","2","1","1","2","5","2","4","2","4","1","3","5","","26","","","","","housing","","","","1","","","2","1","3","4","2","5","1","4","1","3","2","1","2","8","4","7","9","6","3","5","1","8","7","2","3","9","6","4","5","4","1","5","3","2","7","6","2","1","Independent","Joe Biden","Joe Biden","man","Upper Middle Class","White","","","","","","","","$100,001-$120,000","4yearColl"
"BF414fz","0","100","353","1","1","7","7","1","2","1","7","7","4","2","7","7","1","1","1","4","6","1","7","5","7","7","7","7","7","7","7","7","3","0","1","2","2","4","4","3","4","2","4","5","1","3","","34","","","","","weed","","","","","","1","2","1","5","2","3","1","4","3","1","2","4","1","4","3","8","7","2","9","5","6","1","5","8","4","3","6","7","2","9","6","1","7","4","5","3","2","2","1","Democrat","I did not vote","I will not vote","woman","Working Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"CH799us","0","100","364","1","1","6","7","2","3","1","6","7","3","1","7","7","1","1","1","2","7","1","7","5","6","6","6","6","6","6","7","7","1","2","1","2","1","6","4","3","4","2","1","5","3","4","","44","","","","","debt","","1","","","","","2","1","4","3","1","2","5","3","1","4","2","1","6","2","7","5","8","3","4","9","1","7","2","6","5","8","9","4","3","4","1","7","5","6","2","3","1","2","Independent","Joe Biden","Joe Biden","man","Middle Class","White","","","","","","","","$120,001-$140,000","MA"
"KK234kf","0","100","376","1","1","5","5","3","4","3","4","6","6","3","6","7","3","3","3","5","5","3","5","5","6","6","6","5","5","4","6","1","-3","-3","2","1","6","1","","1","1","3","2","1","5","4","","35","","","","","weed","","","","","","1","1","2","3","4","2","1","5","3","1","4","2","1","5","7","9","2","3","6","4","8","1","4","5","3","9","2","6","7","8","2","1","3","5","4","6","7","2","1","Republican","I did not vote","I will not vote","woman","Working Class","White","","","","","","","","$60,001-$80,000","GED"
"LC051sk","0","100","338","1","1","4","3","4","5","5","4","3","7","7","1","1","3","3","4","3","5","2","5","5","3","3","3","5","5","4","7","2","-2","1","1","2","5","1","1","6","1","5","3","4","2","1","Kennedy if he has a chance otherwise Trump","31","","","","N/A","weed","","","","","","1","2","1","4","5","3","1","2","2","1","3","4","1","5","3","7","8","4","9","6","2","1","8","6","2","3","4","9","5","7","5","1","7","3","6","4","2","1","2","Republican","Donald Trump","Other","man","Working Class","White","","","","","","","","$40,001-$60,000","GED"
"VX898dy","0","100","372","1","1","6","6","2","2","1","7","7","2","1","7","7","1","2","1","2","6","1","7","5","7","7","7","7","7","7","7","7","3","1","2","1","1","7","6","1","7","5","1","3","4","2","","29","","","","","weed","","","","","","1","2","1","2","4","1","5","3","3","1","2","4","1","2","3","4","7","5","9","8","6","1","4","5","9","3","7","2","6","8","6","1","7","3","2","4","5","1","2","Democrat","Joe Biden","Joe Biden","woman","Middle Class","White","","","","","","","","$140,001-$160,000","2yearColl"
"LB272jc","0","100","340","1","1","3","2","5","1","1","7","7","2","1","7","7","3","3","2","4","5","3","5","5","6","6","6","6","6","6","6","3","2","1","2","1","2","2","1","3","3","1","3","2","4","5","","63","","","","none","health","","","","","1","","2","1","1","3","4","2","5","2","1","4","3","1","4","3","2","8","7","5","9","6","1","2","5","7","6","3","8","9","4","2","1","5","3","4","6","7","1","2","Independent","Joe Biden","I will not vote","woman","Middle Class","","","Black or African American","","","","","","$80,001-$100,000","MA"
"TL647yi","0","100","326","1","1","2","3","6","5","5","4","4","6","4","2","2","3","3","3","3","6","3","5","5","6","6","5","4","5","4","5","4","2","0","2","1","7","1","1","1","5","5","1","3","2","4","","40","","","","","health","","","","","1","","2","1","5","1","2","3","4","4","1","3","2","1","6","4","2","8","3","7","5","9","1","6","3","9","5","7","2","8","4","2","1","4","6","5","3","7","2","1","Republican","Donald Trump","Donald Trump","woman","Middle Class","White","","","","","","","","$80,001-$100,000","4yearColl"
"GN059xp","0","100","400","1","1","4","4","2","1","2","7","7","1","1","7","7","3","4","3","3","7","4","6","5","6","7","7","7","7","7","7","6","3","2","2","1","1","7","5","7","5","2","1","4","3","5","","33","","","","","housing","","","","1","","","1","2","3","5","1","4","2","4","1","2","3","1","3","2","9","8","6","4","7","5","1","4","5","8","3","6","7","2","9","2","1","3","5","4","6","7","2","1","Democrat","Joe Biden","Cornel West","man","Lower Class","White","","","","","","","","$0-$20,000","GED"
"YW566eq","0","100","235","1","1","5","5","2","1","1","7","7","1","1","7","7","4","2","4","3","5","2","4","5","4","7","4","7","7","7","5","7","3","0","1","2","1","1","5","1","4","1","3","2","4","5","Sanders","41","","","","","weed","","","","","","1","1","2","1","3","2","4","5","4","1","3","2","1","2","7","3","9","6","4","8","5","1","3","8","4","5","6","9","7","2","6","1","2","4","3","7","5","1","2","Independent","Third-party candidate","Other","man","Working Class","White","","","","","","","","$20,001-$40,000","4yearColl"
"KT058bk","0","100","247","1","1","6","5","2","1","1","6","3","1","1","6","6","3","5","1","1","6","5","2","5","6","6","6","6","6","6","6","6","1","-1","2","1","2","6","4","3","6","3","1","4","5","2","","51","","","","","minwage","1","","","","","","2","1","3","2","4","1","5","3","1","4","2","1","9","6","8","2","3","5","4","7","1","7","9","3","6","8","2","4","5","2","1","6","7","3","4","5","2","1","Democrat","Joe Biden","Joe Biden","man","Middle Class","White","","","","","","","","$20,001-$40,000","4yearColl"
"GI304vy","0","100","283","1","1","3","3","6","6","6","3","4","6","6","1","5","2","4","4","5","6","2","6","5","3","6","3","6","6","3","6","1","-2","0","1","2","4","2","1","5","2","1","4","3","5","2","","55","","","","","debt","","1","","","","","2","1","4","5","1","3","2","4","1","3","2","1","5","7","4","3","2","9","8","6","1","6","3","9","7","8","5","2","4","7","1","5","4","6","3","2","2","1","Independent","Donald Trump","Donald Trump","man","Working Class","White","","","","","","","","$20,001-$40,000","4yearColl"
"BQ988xp","0","100","268","1","1","5","6","3","1","1","7","7","7","1","7","7","3","3","4","2","5","2","6","5","6","7","7","7","6","7","6","6","2","-1","2","1","1","4","5","2","6","3","4","2","5","1","","30","","","","","climate","","","1","","","","1","2","2","4","5","1","3","3","1","4","2","1","7","4","2","8","3","6","9","5","1","9","7","3","5","8","6","4","2","2","1","4","7","6","3","5","1","2","Independent","Joe Biden","Joe Biden","man","Lower Middle Class","White","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","2yearColl"
"KC714iq","0","100","157","1","1","4","4","4","1","1","7","7","1","1","7","7","2","2","3","3","6","2","6","5","4","6","4","6","7","7","6","6","1","1","2","1","1","4","5","2","4","5","1","3","4","2","","36","","","","","weed","","","","","","1","2","1","4","2","3","5","1","4","1","2","3","1","2","9","3","5","7","6","4","8","1","6","2","7","5","3","4","9","8","3","1","6","5","4","7","2","2","1","Independent","I did not vote","I will not vote","man","Lower Class","White","","","","","","","","$20,001-$40,000","4yearColl"
"PN144tr","0","100","207","1","1","3","4","3","1","1","7","7","1","1","7","7","2","2","1","3","5","3","7","5","6","6","6","6","6","7","7","7","3","0","1","2","1","7","4","1","6","4","3","5","1","2","","62","","","","","debt","","1","","","","","2","1","5","4","1","3","2","3","1","2","4","1","8","9","7","6","5","2","3","4","1","5","2","6","8","9","7","4","3","6","1","5","3","2","7","4","1","2","Democrat","Joe Biden","Joe Biden","woman","Working Class","White","","","","","","","","$40,001-$60,000","2yearColl"
"CC058uo","0","100","345","1","1","2","2","5","1","1","7","7","5","2","5","7","1","1","1","4","7","1","7","5","5","6","6","6","6","5","4","5","1","0","1","2","4","4","","","","1","3","5","2","4","","57","","","","I agree everyone should have the same opportunities to succeed, but not that we should rob from the rich in order to give to the poor. But even the playing field so we all have a chance to succeed.","debt","","1","","","","","2","1","4","5","3","2","1","4","1","2","3","1","6","8","7","2","3","9","5","4","1","6","7","8","2","9","4","3","5","6","1","4","5","3","2","7","2","1","Independent","Joe Biden","Joe Biden","woman","Working Class","White","","","","","","","","$0-$20,000","4yearColl"
"IM220qd","0","100","302","1","1","3","3","5","2","1","5","6","3","3","4","7","2","2","1","5","6","2","6","5","5","6","6","6","6","6","6","1","-3","-1","1","2","6","1","1","4","1","1","4","3","5","2","","31","","","","","minwage","1","","","","","","2","1","4","1","2","5","3","4","1","2","3","1","5","2","4","9","7","3","8","6","1","2","9","8","6","7","4","3","5","7","1","3","2","5","6","4","1","2","Republican","Third-party candidate","Robert F. Kennedy Jr.","man","Lower Middle Class","White","","","","","","","","$60,001-$80,000","MA"
"XG936an","0","100","316","1","1","5","5","3","6","5","4","4","7","7","1","4","2","2","2","4","6","2","6","5","5","5","5","5","5","5","6","1","-3","-3","2","1","6","1","1","3","1","1","2","5","3","4","","52","","","","","health","","","","","1","","1","2","1","4","2","3","5","3","1","4","2","1","9","3","4","7","5","6","8","2","1","3","5","6","4","2","9","8","7","2","1","7","6","4","5","3","2","1","Republican","Donald Trump","Donald Trump","woman","Lower Middle Class","","Hispanic, Latino, or Spanish origin","","","","","","","$120,001-$140,000","GED"
"OW979ym","0","100","322","1","1","5","5","3","1","1","7","7","3","1","6","7","2","3","2","2","6","2","6","5","6","7","7","7","6","6","7","7","3","0","1","2","2","6","","","5","1","5","3","2","4","","48","","","","","housing","","","","1","","","1","2","4","5","3","2","1","4","1","3","2","1","7","6","9","4","5","8","2","3","1","4","2","7","9","6","5","3","8","2","1","7","4","6","3","5","1","2","Democrat","Joe Biden","Joe Biden","man","Working Class","White","","","","","","","","$20,001-$40,000","2yearColl"
"YW070ex","0","100","239","1","1","4","4","4","1","1","7","7","2","2","6","7","2","2","3","5","5","2","6","5","6","6","6","6","6","5","6","6","3","0","2","1","3","3","1","3","1","3","2","4","5","1","","55","","","","","health","","","","","1","","2","1","3","4","5","1","2","3","1","2","4","1","4","2","3","6","7","9","8","5","1","7","4","8","5","9","3","2","6","2","1","4","7","3","5","6","1","2","Independent","Donald Trump","Robert F. Kennedy Jr.","woman","Working Class","White","","","","","","","","$20,001-$40,000","GED"
"IU385nb","0","100","13","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME675fe","0","100","247","1","1","4","5","4","7","7","3","6","5","5","3","4","6","6","6","5","2","6","2","5","6","6","6","6","6","6","5","3","0","0","2","1","6","1","1","6","1","1","4","2","3","5","","29","","","","Great study, thank you. ","climate","","","1","","","","2","1","4","3","2","1","5","4","1","2","3","1","4","7","5","6","9","3","2","8","1","3","2","8","5","6","9","7","4","6","1","7","4","5","3","2","2","1","Republican","Donald Trump","Donald Trump","man","Middle Class","White","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"EV607wk","0","100","272","1","1","7","5","4","5","5","7","6","1","4","5","7","5","6","2","3","4","4","5","5","7","7","7","7","7","6","6","6","2","1","1","2","1","1","1","1","5","1","3","4","2","5","","28","","","","","minwage","1","","","","","","2","1","4","1","2","3","5","3","1","2","4","1","3","2","9","5","7","8","4","6","1","7","5","4","8","3","9","2","6","2","1","4","6","5","7","3","2","1","Independent","Joe Biden","Donald Trump","man","Middle Class","White","","","","","","","","$120,001-$140,000","MA"
"ZF772ob","0","100","269","1","1","4","2","4","4","4","4","4","5","4","7","7","4","4","1","4","4","4","7","5","7","6","7","7","6","7","7","7","1","-3","1","2","6","4","1","4","4","1","3","5","4","2","","44","","","","I enjoyed taking this survey","housing","","","","1","","","2","1","5","1","2","3","4","4","1","3","2","1","7","2","8","5","9","3","4","6","1","3","4","6","5","2","7","8","9","5","1","6","2","4","3","7","2","1","Republican","Donald Trump","Donald Trump","woman","Working Class","","","","Asian","","","","","$80,001-$100,000","GED"
"AE689ug","0","100","153","1","1","5","7","1","1","1","7","7","1","1","7","7","1","1","1","1","7","1","7","5","7","7","7","7","7","7","7","7","1","0","1","2","1","2","5","1","4","2","5","4","3","1","","39","","","","","housing","","","","1","","","1","2","4","5","1","2","3","2","1","3","4","1","7","2","4","3","5","6","9","8","1","7","4","3","8","6","5","9","2","3","1","5","2","6","7","4","2","1","Independent","Joe Biden","I will not vote","man","Working Class","White","","","","","","","","$40,001-$60,000","2yearColl"
"JU957bd","0","100","219","1","1","5","5","3","3","2","6","6","3","2","7","7","3","3","3","3","5","3","5","5","7","7","7","7","7","7","6","7","3","3","2","1","","7","7","","7","2","1","5","4","3","","25","","","","","debt","","1","","","","","2","1","1","2","4","5","3","2","1","4","3","1","9","4","7","3","2","8","6","5","1","6","5","3","7","2","4","8","9","4","1","5","2","7","6","3","2","1","Democrat","Joe Biden","Joe Biden","man","Lower Middle Class","White","","","","","","","","$60,001-$80,000","4yearColl"
"ZX450fk","0","100","234","1","1","5","5","3","1","1","7","7","7","1","7","7","2","2","2","2","6","2","6","5","5","6","4","7","7","7","6","6","2","1","1","2","1","4","7","2","7","3","4","2","1","5","","32","","","","","debt","","1","","","","","2","1","2","5","1","3","4","3","1","4","2","1","2","6","7","5","8","3","4","9","1","9","4","5","8","6","7","2","3","6","1","3","4","7","5","2","2","1","Democrat","Joe Biden","Joe Biden","man","Upper Middle Class","White","","Black or African American","","","","","","$0-$20,000","2yearColl"
"VQ261qe","0","100","254","1","1","5","5","3","2","2","5","6","2","2","6","6","3","4","4","3","5","3","3","5","6","6","6","5","5","5","6","6","2","-1","2","1","3","4","1","1","2","4","2","3","1","5","","40","","","","","climate","","","1","","","","2","1","5","4","1","2","3","3","1","2","4","1","6","8","9","5","3","2","4","7","1","2","5","9","8","6","4","7","3","3","1","4","2","7","6","5","2","1","Independent","Joe Biden","Joe Biden","man","Upper Middle Class","White","","","","","","","","$80,001-$100,000","4yearColl"
"EZ396md","0","100","340","1","1","6","7","2","1","2","6","7","1","1","7","7","2","3","1","1","6","5","1","5","7","7","7","7","7","7","7","7","3","-3","2","1","2","","6","","","5","1","3","2","4","","29","","","","","minwage","1","","","","","","2","1","4","3","2","1","5","3","1","2","4","1","8","6","9","5","4","3","2","7","1","6","5","4","3","9","2","8","7","3","1","6","7","4","2","5","2","1","Democrat","Donald Trump","Donald Trump","woman","Working Class","","","Black or African American","","","","","","$40,001-$60,000","4yearColl"
"GH148tu","0","100","367","1","1","6","5","3","1","2","7","7","2","2","7","7","3","3","4","2","4","1","5","5","7","7","6","7","6","7","7","7","3","-1","1","2","2","5","6","","6","2","1","3","4","5","","31","","","","thank you for the study. :)","climate","","","1","","","","1","2","5","4","3","1","2","3","1","2","4","1","3","2","7","4","9","5","8","6","1","5","4","3","9","2","6","8","7","2","1","3","5","4","6","7","2","1","Democrat","Joe Biden","Joe Biden","man","Working Class","White","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","GED"
"RU553dg","0","100","324","1","1","3","3","3","6","1","4","6","7","7","2","1","2","2","1","3","6","2","6","5","7","7","7","7","6","7","7","1","-3","3","1","2","7","1","1","4","1","3","2","1","4","5","","34","","","","","debt","","1","","","","","2","1","2","5","3","1","4","3","1","4","2","1","6","2","5","3","8","4","7","9","1","2","7","4","6","5","3","9","8","4","1","3","2","5","6","7","1","2","Republican","Donald Trump","Donald Trump","man","Lower Middle Class","White","","","","","","","","$80,001-$100,000","4yearColl"
"JA126jw","0","100","187","1","1","7","7","1","4","4","7","7","4","4","7","7","5","5","5","6","4","5","4","5","7","7","7","7","7","7","6","7","3","0","1","2","1","","1","","3","4","5","2","1","3","","27","","","","","housing","","","","1","","","1","2","2","3","5","4","1","4","1","2","3","1","5","4","2","8","6","9","7","3","1","5","7","6","8","9","3","4","2","7","1","3","5","6","4","2","1","2","Democrat","Joe Biden","I will not vote","man","Middle Class","","","","Asian","","","","","$60,001-$80,000","4yearColl"
"MG446br","0","100","233","1","1","6","6","2","1","1","7","7","1","1","7","7","4","4","2","2","4","2","4","5","7","7","7","7","7","7","7","7","1","0","2","1","1","2","3","1","3","4","5","1","3","2","","33","Non-binary","","","I believe the working class encompasses any individual who is required to sell their labor to survive.","climate","","","1","","","","2","1","3","5","4","2","1","4","1","2","3","1","8","4","9","7","2","3","5","6","1","9","3","8","4","7","2","6","5","7","1","5","4","2","3","6","1","2","Independent","Joe Biden","Joe Biden",NA,"Working Class","White","","","","","","","","$60,001-$80,000","4yearColl"
"SH981vh","0","100","231","1","1","7","7","1","1","1","7","7","1","1","7","7","5","3","1","6","5","2","3","5","7","7","7","7","7","7","7","7","3","3","2","1","1","2","1","2","","3","4","5","2","1","","32","","","","","weed","","","","","","1","2","1","2","3","4","5","1","2","1","4","3","1","3","5","6","7","9","8","2","4","1","7","2","8","6","4","3","9","5","7","1","5","3","4","6","2","2","1","Independent","I did not vote","I will not vote","man","Working Class","White","","","","","","","","$0-$20,000","GED"
